time,price_stock,volume_stock,topic_1_impact_normalised,topic_2_impact_normalised,sentiment_impact,sentiment_impact_std
2022-03-03 19:05:00,81.35,32054,1.208814737,0.5951270792,-0.3553704762,0.5982879866
2022-03-03 19:10:00,81.23,80010,1.46527295,0,-0.8844392207,0.3498526563
2022-03-03 19:15:00,81.3,298940,1.659853173,0.4833082523,-0.7919132791,0.6923461755
2022-03-03 19:20:00,81.36,44253,1.80742284,0,-0.8212094696,1.161365569
2022-03-03 19:25:00,81.47,75278,0.5808116829,0.3586594084,0.02321041282,0.2350523717
2022-03-03 19:30:00,81.54,56413,1.341607917,0,-0.2620451418,0.408339054
2022-03-03 19:35:00,81.45,21123,0.6320147458,0.09032403457,0.01492525929,0.01469010149
2022-03-03 19:40:00,81.46,24442,0,2.594616601,-0.205938708,0.2467453519
2022-03-03 19:45:00,81.47,33601,0.2871400846,0.5664498795,-0.1147645409,0.2133817219
2022-03-03 19:50:00,81.75,27365,0.2728330014,1.272720983,-0.5492993181,0.4939219297
2022-03-03 19:55:00,81.87,50320,0.2092572173,0.7981986079,-0.08231712765,0.6821141634
2022-03-03 20:00:00,81.915,58467,1.320953173,0.900749539,-0.210436698,0.08617656151
2022-03-03 20:05:00,82.1,78588,0,0.943846364,-0.3952212445,0.2580506374
2022-03-03 20:10:00,82.07,219641,0,2.125945789,-0.6026489848,0
2022-03-03 20:15:00,82.15,77308,0,3.762456173,-0.8021583513,0
2022-03-03 20:20:00,82.15,131996,0.8815785604,1.881228086,-1.502731693,1.880677641
2022-03-03 20:25:00,82.33,79148,0.9861355803,0.7522592523,-0.6803358505,0.6969714783
2022-03-03 20:30:00,82.38,58667,1.968539865,0,-0.9321688563,1.03103587
2022-03-03 20:35:00,82.29,55021,3.259220856,1.433244542,-2.249559953,2.779013003
2022-03-03 20:40:00,82.22,33340,0,1.27569638,-0.3445414984,0.4952952246
2022-03-03 20:45:00,82.09,33557,1.881228086,0.7482823796,-1.183061547,0.2042301711
2022-03-03 20:50:00,81.955,53671,0,0,0,0
2022-03-03 20:55:00,81.82,39902,0.5360178709,0.7015445162,-0.7047834213,1.15477732
2022-03-03 21:00:00,81.83,33701,0.5995944965,1.986569341,-0.5045625876,0.01689340461
2022-03-03 21:05:00,81.57,37035,0,1.422948505,-1.47901595,0
2022-03-03 21:10:00,81.62,33072,0.7545729895,0.1951380679,-0.3599631354,0.509064748
2022-03-03 21:15:00,81.75,62009,0,3.226011955,-1.541406859,2.102627344
2022-03-03 21:20:00,82.01,51847,0.08,0.7844350221,-0.1229017714,0.2401246104
2022-03-03 21:25:00,81.93,48747,1.182367548,0.2665956945,0.2311335452,0.3392387859
2022-03-03 21:30:00,82.02,64960,1.40983485,0.7160401495,-0.8755544012,1.064487886
2022-03-03 21:35:00,81.7,56442,0,0,0,0
2022-03-03 21:40:00,81.82,81542,1.301296205,0.2022092186,-0.4394847397,0.68178061
2022-03-03 21:45:00,81.71,107114,1.765660899,0,-0.5491478943,0.5816971681
2022-03-03 21:50:00,81.88,130939,0.5480862051,0.3485568309,-0.1059170898,0.281148962
